Load (N/m),Displacement for k_s=0.10*k_l (m),Displacement for k_s=0.30*k_l (m),Displacement for k_s=0.50*k_l (m),Displacement for k_s=0.70*k_l (m),Displacement for k_s=0.90*k_l (m),Displacement for k_s=1.10*k_l (m),Displacement for k_s=1.30*k_l (m),Displacement for k_s=1.50*k_l (m),Displacement for k_s=1.70*k_l (m),Displacement for k_s=1.90*k_l (m),Displacement for k_s=2.10*k_l (m),Displacement for k_s=2.30*k_l (m),Displacement for k_s=2.50*k_l (m),Displacement for k_s=2.70*k_l (m),Displacement for k_s=2.90*k_l (m)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0290125,0.01770791283399449,0.01495336182561881,0.01294322493391608,0.01141088828969813,0.01020373542837933,0.009228003384213201,0.008422867750077161,0.007747128851056485,0.007171879346258943,0.006676233768587134,0.006244724151237262,0.005865649158849267,0.00552999261056402,0.005230694601292374,0.004962147944794695
0.05802500000000001,0.03568111860073636,0.03006469479507421,0.02598808607090946,0.02289101046472282,0.02045674951148741,0.01849232541099852,0.01687327167143647,0.01551563147166766,0.01436068100650586,0.01336609415378445,0.01250058278110051,0.01174051340203144,0.01106769807093298,0.01046790949363473,0.009929857415901867
0.08703750000000002,0.05394780360558531,0.04534700657276247,0.03914137358524319,0.03444424276068427,0.03076141050665333,0.02779449222977,0.02535223840599663,0.02330622333074883,0.02156691856668775,0.02006995920618051,0.01876786025112131,0.01762481067387729,0.01661328619383542,0.01571177892728536,0.0149032359326829
0.11605,0.07257523131989868,0.06081491373709984,0.05241054351673233,0.04607477393071244,0.04112024792564451,0.03713611957912211,0.03386084740890444,0.03111965258042654,0.02879112667489594,0.0267882210231459,0.02504685057048217,0.02351876571596349,0.02216693168893964,0.02096244075044397,0.01988239370459633
0.1450625,0.09156053403401811,0.07650900114136103,0.06580380788093046,0.05778713955716543,0.05153596731561009,0.04651891979447769,0.04240023453515154,0.03895670201020669,0.03603386216298966,0.03352128642155985,0.03133785781498793,0.02942261033669059,0.02772881434131823,0.02622003653040024,0.02486744371529007
0.174075,0.1109695824441152,0.09241453978583139,0.07934753386456533,0.06958626123676781,0.06201146677762254,0.05594470951327704,0.05097159593393145,0.04681819114776536,0.04329570524268763,0.04026957765045068,0.03764119656844018,0.03533658369394666,0.03329911919782684,0.03148471167961684,0.02985850180985548
0.2030875,0.1308617893243844,0.1085678641841632,0.09302572343024131,0.08147749151534867,0.07254985548167252,0.06541541816604592,0.05957619228454947,0.05470497852057664,0.05057726078258437,0.04703353314668721,0.04395719238802538,0.04126093259172513,0.03887803676188564,0.03675661558703398,0.03485568678541667
0.2321,0.1513099990294825,0.1249950674725229,0.1068609939249704,0.09348469592367888,0.08315447447739638,0.07493309735222617,0.06821535341066481,0.06261796409342787,0.05787915967275829,0.05381360833687143,0.05028618229529382,0.0471959117915256,0.04446576319711747,0.04203590175485256,0.0398591204852065
0.2611125,0.1724049360716658,0.1417265294906573,0.1208664458996374,0.1055848549427902,0.09384199705316643,0.08449993121456452,0.07689048331437101,0.07055809189854954,0.06520206028428362,0.06061027648885822,0.05662851529442863,0.05314178433942248,0.05006250054032492,0.04732272794106849,0.04486892789628831
